Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Status,Deemed Assets,Deemed Liability,Number of Wells,,,Area Name,Deemed Assets,Deemed Liability,,,,,,,,,
,Abandoned,0,16488050,1672,,,Central,66450304.53,19742592,,,66450304.53,19742592,,,,,
,Abandoned & Re-Enter,138146.71,521222,40,,,East,4807340.4799999995,23176247,,,,,,,,,
,Abandoned & Whip,325380.5,756664,34,,,North ,5246869.99,39096371,,,,,,,,,
,Abandoned Zn,2260764.96,34534340,1503,,,Provost,19907226.549999993,58215071,,,,,,,,,
,CBM,209055.58,68611,56,,,South,7129594.58,25384798,,,,,,,,,
,Commingled,24808.449999999997,926714,158,,,W5/W6,0,1286213,,,,,,,,,
,Disposal,0,1730805,31,,,,103541336.13,166901292,,,,,,,,,
,Drain,119822.27,240558,15,,,,0,0,,,,,,,,,
,Drilled & Cased,737324.09,4730240,276,,,,Deemed Liability,,,,,,,,,,
,Gas,6824635.060000004,11701087,434,,,Status,Central,East,North ,Provost,South,W5/W6,,,,,
,Injector,0,2100035,38,,,Abandoned,469425,1675350,3859575,,,,,,,,
,Oil,34746882.03,2119132,45,,,Abandoned & Re-Enter,93032,148672,47750,,,,,,,,
,Reclaimed,0,111375,157,,,Abandoned & Whip,0,73991,0,,,,,,,,
,Suspended,0,1250447,19,,,Abandoned Zn,3154786,4310304,14862295,,,,,,,,
,Suspended CBM,0,43726,7,,,CBM,68611,0,0,,,,,,,,
,Suspended Disposal,0,734837,12,,,Commingled,0,357183,128114,,,,,,,,
,Suspended Gas,8282843.119999998,44751586,1159,,,Disposal,0,0,229221,,,,,,,,
,Suspended Injector,0,39109,2,,,Drain,0,71076,0,,,,,,,,
