2661707 Alberta Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
PROJECTED PROFORMA PNG ASSETS,,,,,,,,,,,,
Unaudited,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Chigwell,Prentiss,Joffre,Total,,,,,,,
,Cost,,,,,,,,,,,
,"Balance at December 31, 2024",250,0,16,266,,,,,,,
,Additions,4100,1200,0,5300,,,,,,,
,ARO,10229.238899018408,,,10229.238899018408,,,,,,,
,"Balance at December 31, 2025",14579.238899018408,1200,16,15795.238899018408,,,,,,,
,, ,,,,,,,,,,
,Accumulated DDD&A,,,,,,,,,,,
,"Balance at December 31, 2024",0,0,0,0,,,,,,,
,Depletion and amortization,,,,,,,,,,,
,"Balance at December 31, 2025",,0,0,,,,,,,,
,"Net Book value at December 31, 2025",,1200,16,,,,,,,,
,,,,,,,,,,,,
,Cost,,,,,,,,,,,
,"Balance at December 31, 2025",14579.238899018408,1200,16,15795.238899018408,,,,,,,
,Additions,14990,60,,15050,,,,,,,
,"Balance at December 31, 2026",29569.238899018408,1260,16,30845.238899018408,,,,,,,
,,,,,,,,,,,,
,Accumulated DDD&A,,,,,,,,,,,
,"Balance at December 31, 2025",,0,0,,,,,,,,
,Depletion and amortization,,,,,,,,,,,
,"Balance at December 31, 2026",,0,0,,,,,,,,
,"Net Book value at December 31, 2026",,1260,16,,,,,,,,
,,,,,,,,,,,,
,Cost,,,,,,,,,,,
,"Balance at December 31, 2026",29569.238899018408,1260,16,30845.238899018408,,,,,,,
,Additions,2775,60,,2835,,,,,,,
,"Balance at December 31, 2027",32344.238899018408,1320,16,33680.23889901841,,,,,,,
,,,,,,,,,,,,
,Accumulated DDD&A,,,,,,,,,,,
,"Balance at December 31, 2026",,0,0,,,,,,,,
,Depletion and amortization,,,,,,,,,,,
,"Balance at December 31, 2027",,0,0,,,,,,,,
