2661707 Alberta Ltd ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
PROJECTED PROFORMA DEPLETION,,,,,
Unaudited,,,,,
,,,,,
METHODOLOGY,,,,,
- Depletion is calculated on costs in the Property and Equipment Account at the end of each period,,,,,
"- Costs transferred to the Property and Equipment Account in the period represents annual transfer of Regulatory Costs, G&G Costs and Land and Lease costs transferred at a rate of 20% per year",,,,,
"- The Depletion Calculation uses the total production for at the end of the period and the Total Proved plus Probable Reserves for the Tec 10 well as estimated by Reserve Engineers at December 31, 2021 and adjusted for production in each interim period ",,,,,
,,,,,
,2661707 Alberta Ltd,,,,
,2025,2026.0,2027,2028,2029
Production - Bbls,,,,,
"Reserves, beginning  ",4185100,,,,
,,,,,
Average Depletion rate per year,,,,,
,,,,,
Depletion Base ,14579238.899018409,29569238.899018407,32344238.899018407,34794238.899018414,39894238.899018414
Future Development Costs,21417900,20132900.0,18822100,16148200,13420800
,35997138.89901841,49702138.89901841,51166338.89901841,50942438.899018414,53315038.899018414
Less: accumulated depletion beginning of period,0,,,,
,35997138.89901841,,,,
,,,,,
Depletion,,,,,
,,, ,, 
Calculation of reserves for Depletion purposes,,,,,
ANNUAL,,,,,
"June 30, 2024 Reserves",,4185100.0,,,
,,,, ,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Future Development Costs (per Mcdaniel's Evaluation ) Case 4 - Table 1,,,,,
,,,,,
2025,1259900,,,,
2026,1285000,,,,
2023,1310800,,,,
2028,2673900,,,,
2029,2727400,,,,
2030+,13420800,,,,
=,22677800,,,,
, ,,,,
