2661707 Alberta Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
AER Manual 23 - Lifecycle Management,,,,,,,,
Internal Holistic License Assessment,,,,,,,,
,,,,,,,,
"The holistic license assessment includes multiple factors. The Licensee Capability Assessment (the ""LCA""  is a critical one. Additional factors are described in section 4.5 of Directive 067: Eligibility Requirements for Acquiring and Holding Energy Licences and Approvals, and the AER may consider any other factors or information that would be appropriate in the circumstance. These factors include other inspection, audit, or compliance elements not included in the LCA and information provided to the AER through complaints and other licensee submissions and reporting. ",,,,,,,,
Manual 023 - Clause 2.1 Licensee Capability Assessment,,,,,,,,
"Th LCA uses various factors to identify the risks posed by a licensee. Table 1 groups these factors into two groups, risk and performance, and ties them to terms used in the LCA as follows:",,,,,,,,
,,,,,,,,
Manual 023 - Clause 2.1.1.1 Level of Financial Distress,,,,,,,,
Cascade has completed an internal calculation of the ratios that are used to determine a Company's Financial Health or Level of Financial Distress using certain selected information from the Proforma Financial Statements.  The parameters used to determine the risk ranges for each ratio are detailed in Table 2 which has been provided to the right.,,,,,,,,
,,,,,,,,
,CASCADE CAPTURE LTD - Selected Proforma Information,,,,,,,
,,2025,2026,2027.0,2028.0,2029.0,,
,Current Assets,,,,,,,
,Current Liabilities,,,,,,,
,Debt ,15451,10451,5451.0,451.0,451.0,,
,Equity,5050,5050,5050.0,5050.0,5050.0,,
,Total Revenues,18315.6,25504.9,28403.6,32994.8,35235.5,,
,Interest on long term debt,1650,1397.9166666666672,847.9166666666675,297.9166666666673,0.0,,
,Net Profit,10186.367499999998,15238.043750000003,17546.32,20952.49625,22685.7725,,
,EBITDA,,,,,,,
,Cashflow from Operations,,,,,,,
,,,,,,,,
,FINANCIAL STATEMENT RATIOS,,,,,,,
,,2025,2026,2027.0,2028.0,2029.0,3 Year Average 2027-2029,Risk
,Net profit margin,0.5561580019218589,0.5974555379554518,0.6177498626934614,0.6350241932062022,0.6438328532304068,0.6322023030433569,Low
,Current Ratio,,,,,,,Low
,Debt/Equity,3.0596039603960397,2.0695049504950496,1.0794059405940595,0.0893069306930693,0.0893069306930693,0.4193399339933994,Low
,Interest coverage ratio,,,,,,,Low
,Cashflow from operations/ Debt,,,,,,,Low
,,,,,,,,
Manual 023 - Clause 2.1.1.2 Magnitude of Liability,,,,,,,,
"A licensee’s magnitude of liability is based on a combination of site-specific liabilities and the licensee’s abandonment, remediation, and reclamation liabilities as assessed by the AER. ",,,,,,,,
,,,,,,,,
,Liability estimate date,Liability estimate,Risk level,,,,,
,"January 1, 2025",22252252,LOW,,,,,
,"December 31, 2025",22252252,LOW,,,,,
,"December 31, 2026",22252252,LOW,,,,,
,"December 31, 2027",22252252,LOW,,,,,
