"Commonly used CCA classes, their descriptions and rates",Unnamed: 1,Unnamed: 2
Class,Rate (%),Description
1,4,"Most buildings you bought after 1987 and the cost of certain additions or alterations made after 1987. The rate for eligible non-residential buildings acquired after March 18, 2007, and used in Canada to manufacture and process goods for sale or lease includes an additional allowance of 6% (total 10%). For all other eligible non-residential buildings in this class, the rate includes an additional allowance of 2% (total 6%). To be eligible for the additional allowances, elections have to be filed. For more information, go to Class 1 (4%)."
3,5,"Most buildings acquired before 1988 (or 1990, under certain conditions). Also include the cost of additions or alterations made after 1987. For more information, go to Class 3 (5%)."
6,10,"Frame, log, stucco on frame, galvanized iron or corrugated metal buildings that meet certain conditions. Class 6 also includes certain fences and greenhouses. For more information, go to Class 6 (10%)."
8,20,"Property that you use in your business and that is not included in another class. Also included is data network infrastructure equipment and systems software for that equipment acquired before March 23, 2004. Some buildings used for storage should also be included. For more information, go to Class 8 (20%) and Class 46 (30%)."
10,30,"General-purpose electronic data-processing equipment (commonly called computer hardware) and systems software for that equipment acquired before March 23, 2004, or after March 22, 2004, and before 2005 if you made an election. Also included are motor vehicles and some passenger vehicles. For more information, go to Class 10 (30%) and Class 10.1 (30%)."
10.1,30,"A passenger vehicle not included in Class 10. For more information, go to Class 10.1 (30%)."
12,100,"Property such as tools, medical or dental instruments, and kitchen utensils that cost less than $500 and were acquired after May 1, 2006. For more information, go to Class 12 (100%)."
13,Varies,"Leasehold interest. You can claim CCA on a leasehold interest, but the maximum rate depends on the type of leasehold interest and the terms of the lease."
14,Varies,"Patents, franchises, concessions or licences for a limited period. Your CCA is the lesser of the total of the capital cost of each property spread out over the life of the property, or the undepreciated capital cost to the taxpayer as of the end of the tax year of property of that class."
14.1,5,"Starting January 1, 2017, include in Class 14.1Footnote1 property that:"
,,is goodwill
,,"was eligible capital property immediately before January 1, 2017, and is owned at the beginning of that day"
,,"is acquired after 2016, other than:"
,,property that is tangible or corporeal property
,,property that is not acquired for the purpose of gaining or producing income from business
,,property in respect of which any amount is deductible (otherwise than as a result of being included in Class 14.1) in computing the income from the business
,,an interest in a trust
,,an interest in a partnership
,,"a share, bond, debenture, mortgage, hypothecary claim, note, bill or other similar property"
,,"property that is an interest in, or for civil law a right in, or a right to acquire, a property described in any of the above sub-bullets"
,,Examples for farming are milk and eggs quotas.
,,"Examples for business, professional and fishing are franchises, concessions or licences for an unlimited period."
