2661707 Alberta Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
PROJECTED PROFORMA STATEMENTS OF INCOME,,,,,,
Unaudited,,,,,,
,,,,,,
,,,,,,
"Projected for the 12 months ended December 31,",2025.0,2026.0,2027.0,2028.0,2029.0,Notes
Revenues,,,,,,
Oil Revenue,6996.9,8199.9,9428.6,10683.9,11966.5,
Nature Gas Revenue,11318.7,17305.0,18975.0,22310.9,23269.0,
NGL Revenue,18315.6,25504.9,28403.6,32994.8,35235.5,
Condensate ,-2631.8325,-3146.75625,-3661.68,-4176.60375,-4691.527499999999,
,,,,,,
Rotalties,-2631.8325,-3146.75625,-3661.68,-4176.60375,-4691.527499999999,
Net Revenues,15683.767499999998,22358.143750000003,24741.92,28818.19625,30543.9725,
,,,,,,
Operating expenses *inflation adjusted,,,,,,
Facility operating costs,1618.3000000000002,2346.0,2392.9,2440.8,2489.6,
Facility Maintenance,105.6,105.6,105.6,105.6,105.6,
Major maintenance ,0.0,150.0,150.0,150.0,150.0,
operating costs,3773.5,4518.5,4547.1,5169.3,5113.0,
Surface leases and taxes,0.0,0.0,0.0,0.0,0.0,Cascade 10%/Resurgent 90%
,5497.4,7120.1,7195.6,7865.700000000001,7858.2,
Net Operating Income,10186.367499999998,15238.043750000003,17546.32,20952.49625,22685.7725,
,,,,,,
General Expenses,,,,,,
Salaries & benefits/contractors,100.0,100.0,100.0,100.0,100.0,
Travel & entertainment,5.0,5.0,5.0,5.0,5.0,
Office supplies & services,1.7,1.7,1.7,1.7,1.7,
Communications/internet access ,2.0,2.0,2.0,2.0,2.0,
IT licences & support,3.0,3.0,3.0,3.0,3.0,
Professional fees ,95.0,95.0,95.0,95.0,95.0,
Insurance ,70.0,70.0,70.0,70.0,70.0,
Governance ,50.0,50.0,50.0,50.0,50.0,
Executive management,200.0,200.0,200.0,200.0,200.0,
Interest Expense,1650.0,1397.9166666666672,847.9166666666675,297.9166666666673,0.0,
Depletion and depreciation,,,,,,See 'Depletion' Sheet
Asset retirement ,2500.0,2500.0,5000.0,0.0,0.0,
Accretions of asset retirement obligation,81.83391119214727,82.48858248168446,83.14849114153792,83.81367907067022,84.48418850323557,See 'ARO' Sheet
 ,,,,,,
NET INCOME BEFORE TAXES,,,,,,
INCOME TAXES,,,,,,See 'Taxes' Sheet
,,,,-1603.0,-84.0,See 'Taxes' Sheet
NET INCOME   ,,,,,,
 ,,,,,,
Check - Mcdaniel,,,,,,
Agreed to Net EOR Operating Income (Mcdaniel's Case 4),7545.200000000001,12786.5,14427.9,17141.600000000002,18156.0,
Agreed to Net Facility Operating Income (Mcdaniel's Case 4),2746.7674999999995,2707.1437499999997,3374.020000000001,4066.4962499999983,4785.3725,
